4994.6,225000,648
5757.7,238000,735
3502,165000,461
4575,190000,586
3874,179000,508
4715.9,213000,613
5676,235000,724
3786.9,176000,497
4683.3,195000,600
4602.2,192000,590
4740,215000,616
5836.9,242000,744
4664.3,212000,607
4779.4,198000,612
4667.1,194000,598
3671,171000,482
5521.1,229000,705
6003.4,248000,765
5727.6,237000,730
4961.4,224000,644
3741.3,174000,491
4572,190000,586
3669.5,171000,483
4771.4,216000,620
5558.4,245000,776
5479.8,251000,776
6406.8,293000,895
5991.9,274000,837
4412.9,202000,616
5262.5,241000,735
3527.7,161000,493
3943.3,180000,551
6538.2,299000,913
3543,162000,495
4547.4,208000,635
4547.5,208000,635
4472.6,205000,625
3467.2,207000,633
4529.9,207000,633
5655.5,259000,790
4526.5,207000,632
3584.2,159000,484
4518.5,207000,631
4520.4,207000,631
5272.3,241000,736
5721.2,262000,799
4369.8,200000,610
3543,162000,495
4528,187000,619
4176,174000,604
4090.2,169000,566
3989.4,166000,554
4642.8,192000,636
4352,182000,601
4116.4,173000,570
4016,167000,554
4042.4,167000,560
4168,173000,578
4192.6,175000,579
3985.8,167000,553
3928.4,164000,545
3904,163000,542
3994.5,166000,556
4081,170000,565
4081.7,170000,566
3855.2,161000,538
3854.7,161000,537
4133.9,171000,571
4108.9,170000,568
3994,167000,555
3827.4,160000,535
3988.6,166000,554
3837.2,159000,533
4134,171000,571
4261.6,176000,588
3982.8,165000,552
3874.5,162000,540
3984.4,165000,554
4445.9,184000,610
3925.5,162000,544
